       pp_ac.sim::cutoff_lowpass_3db(v(out))              pp_ac.sim::max(db(v(out)))              pp_dc.sim::i(q1:c)              pp_dc.sim::w(q1)              r3::value              r7::value       
190056967.27481 5.6154457706386 0.0018246265949741 0.077808554311096 10010.000000000 201.30000000000 
239052375.95104 6.8852877083429 0.025663045109812 0.91301524528686 110.00000000000 234.30000000000 
232479251.24278 10.738553984948 0.014748689039322 0.57270676040277 1210.0000000000 234.30000000000 
227882104.70629 10.614990332042 0.0099066210662675 0.39893302268471 2310.0000000000 234.30000000000 
222929723.86833 10.194865687476 0.0071622998461900 0.29424183673796 3410.0000000000 234.30000000000 
217703448.61273 9.6152308117877 0.0053966234386933 0.22451597838847 4510.0000000000 234.30000000000 
212317106.25239 8.8964790463329 0.0041675923688679 0.17488951725905 5610.0000000000 234.30000000000 
206723242.97898 8.0403635317536 0.0032649818533764 0.13787364996359 6710.0000000000 234.30000000000 
200868899.89226 7.0354195558162 0.0025759936776756 0.10929456668444 7810.0000000000 234.30000000000 
194637976.75472 5.8622897928028 0.0020347376870071 0.086647442238975 8910.0000000000 234.30000000000 
187657956.32962 4.5023971824190 0.0015984981526699 0.068268687092257 10010.000000000 234.30000000000 
239543561.02202 6.5965754810117 0.022555734651588 0.82340047565231 110.00000000000 267.30000000000 
232194275.53855 10.374396539856 0.013014169047784 0.51207566150770 1210.0000000000 267.30000000000 
227038576.29346 10.176156306978 0.0087542647921145 0.35552342864457 2310.0000000000 267.30000000000 
221633644.77785 9.6820889770544 0.0063352839824106 0.26181635865724 3410.0000000000 267.30000000000 
216102966.33298 9.0235036910061 0.0047775340466994 0.19963132192311 4510.0000000000 267.30000000000 
210471985.38915 8.2255343337822 0.0036926676955139 0.15547376566419 5610.0000000000 267.30000000000 
204734716.85687 7.2876561721315 0.0028956509738391 0.12258911886018 6710.0000000000 267.30000000000 
198774072.12365 6.2016634149784 0.0022870981584246 0.097228319245710 7810.0000000000 267.30000000000 
192431227.21568 4.9517858925217 0.0018089123264928 0.077147865953595 8910.0000000000 267.30000000000 
185318205.39529 3.5236358854797 0.0014234010996383 0.060861216509327 10010.000000000 267.30000000000 
239679140.31292 6.3489817526832 0.020119909579204 0.74911171112345 110.00000000000 300.30000000000 
231671919.44220 10.056846265022 0.011644719947980 0.46293625813161 1210.0000000000 300.30000000000 
